Activity Date,Activity Type,Elapsed Time,Distance,Elapsed Time.1,Moving Time,Distance.1,Elevation Gain,Elevation Low,Elevation High
"Jan 17, 2024, 04:36:24 PM",Swim,1088,0.5,1088.0,1088,500.0,0.0,0.0,0.0
"Jan 24, 2024, 04:39:57 PM",Swim,1121,0.5,1121.0,1121,500.0,0.0,0.0,0.0
"Jan 31, 2024, 04:34:12 PM",Swim,1196,0.575,1196.0,1196,575.0,0.0,0.0,0.0
"Feb 07, 2024, 04:39:43 PM",Swim,1049,0.775,1049.0,1049,775.0,0.0,0.0,0.0
"Feb 14, 2024, 04:38:43 PM",Swim,1179,0.5,1179.0,1179,500.0,0.0,0.0,0.0
"Feb 21, 2024, 04:37:58 PM",Swim,1236,0.5,1236.0,1236,500.0,0.0,0.0,0.0
"Feb 28, 2024, 04:40:06 PM",Swim,1075,0.5,1075.0,1075,500.0,0.0,0.0,0.0
"Apr 03, 2024, 03:39:00 PM",Swim,1193,0.525,1193.0,1193,525.0,0.0,0.0,0.0
"Apr 10, 2024, 03:33:18 PM",Swim,1594,0.725,1594.0,1594,725.0,0.0,0.0,0.0
"Apr 24, 2024, 03:30:57 PM",Swim,1497,0.775,1497.0,1497,775.0,0.0,0.0,0.0
"May 08, 2024, 03:38:13 PM",Swim,1345,0.65,1345.0,1345,650.0,0.0,0.0,0.0
"May 14, 2024, 07:33:00 AM",HIIT,457,,457.0,457,,0.0,0.0,0.0
"May 14, 2024, 06:53:30 PM",Run,2472,4.252,2472.0,2472,4252.0,0.0,0.0,0.0
"May 15, 2024, 07:10:55 AM",Run,1821,3.306,1821.0,1821,3306.0,0.0,0.0,0.0
"May 15, 2024, 11:00:02 AM",HIIT,595,,595.0,595,,0.0,0.0,0.0
"May 15, 2024, 03:45:46 PM",Swim,803,0.4,803.0,803,400.0,0.0,0.0,0.0
"May 17, 2024, 07:21:18 AM",Run,2256,4.333,2256.0,2256,4333.0,0.0,0.0,0.0
"May 21, 2024, 06:58:39 AM",Run,3044,5.65,3044.0,3044,5650.0,0.0,0.0,0.0
"May 21, 2024, 07:10:12 PM",,1530,,1530.0,1530,,0.0,0.0,0.0
"May 22, 2024, 03:40:27 PM",Swim,1150,0.5,1150.0,1150,500.0,0.0,0.0,0.0
"May 27, 2024, 07:01:39 AM",Run,3911,6.919,3911.0,3911,6919.0,0.0,0.0,0.0
"May 29, 2024, 07:09:45 AM",Run,3237,6.361,3237.0,3237,6361.0,0.0,0.0,0.0
"May 29, 2024, 03:36:58 PM",Swim,1515,0.75,1515.0,1515,750.0,0.0,0.0,0.0
"Jun 02, 2024, 09:11:32 AM",,4675,4.634,4675.0,4675,4634.0,0.0,0.0,0.0
"Jun 05, 2024, 03:38:14 PM",Swim,1376,1.225,1376.0,1376,1225.0,0.0,0.0,0.0
"Jun 08, 2024, 09:04:27 AM",,6178,5.586,6178.0,6178,5586.0,0.0,0.0,0.0
"Jun 10, 2024, 06:48:00 AM",Run,2797,5.708,2797.0,2797,5708.0,0.0,0.0,0.0
"Jun 11, 2024, 06:48:40 PM",,2859,,2859.0,2859,,0.0,0.0,0.0
"Jun 13, 2024, 07:12:57 AM",Run,3105,5.698,3105.0,3105,5698.0,0.0,0.0,0.0
"Jun 15, 2024, 08:48:58 AM",Hike,17400,14.834,17400.0,17400,14834.0,0.0,0.0,0.0
"Jun 19, 2024, 08:18:48 AM",Run,3579,5.749,3579.0,3579,5749.0,0.0,0.0,0.0
"Jun 20, 2024, 10:31:49 AM",Run,2799,5.515,2799.0,2799,5515.0,0.0,0.0,0.0
"Jun 25, 2024, 06:18:22 PM",Run,2519,5.431,2519.0,2519,5431.0,0.0,0.0,0.0
"Jun 28, 2024, 07:32:11 AM",Run,2513,5.378,2513.0,2513,5378.0,0.0,0.0,0.0
"Jul 03, 2024, 10:24:39 AM",Run,2469,5.41,2469.0,2469,5410.0,0.0,0.0,0.0
"Jul 04, 2024, 07:26:38 AM",Run,2515,5.305,2515.0,2515,5305.0,0.0,0.0,0.0
"Jul 05, 2024, 07:12:38 AM",Run,2510,5.465,2510.0,2510,5465.0,0.0,0.0,0.0
"Jul 08, 2024, 07:02:46 AM",Run,2436,5.404,2436.0,2436,5404.0,0.0,0.0,0.0
"Jul 09, 2024, 01:48:30 PM",HIIT,637,,637.0,637,,0.0,0.0,0.0
"Jul 10, 2024, 06:49:34 AM",Run,2297,5.331,2297.0,2297,5331.0,0.0,0.0,0.0
"Jul 30, 2024, 08:27:19 AM",Run,2567,5.363,2567.0,2567,5363.0,0.0,0.0,0.0
"Aug 17, 2024, 11:45:51 AM",Ride,3805,10.319,3805.0,3805,10319.0,0.0,0.0,0.0
"Aug 21, 2024, 08:09:04 AM",Run,2438,5.358,2438.0,2438,5358.0,0.0,0.0,0.0
"Sep 10, 2024, 05:50:54 PM",Basket,3685,,3685.0,3685,,0.0,0.0,0.0
"Sep 16, 2024, 07:11:51 AM",Run,1003,2.561,1003.0,1003,2561.0,0.0,0.0,0.0
"Sep 17, 2024, 05:48:50 PM",Basket,2660,,2660.0,2660,,0.0,0.0,0.0
"Sep 18, 2024, 07:14:08 AM",Run,2137,5.572,2137.0,2137,5572.0,0.0,0.0,0.0
"Sep 19, 2024, 07:24:55 AM",Run,2196,5.405,2196.0,2196,5405.0,0.0,0.0,0.0
